filename,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
[vio][jaz_blu]2092__2.wav,0.1147710308432579,2008.9635791500439,3413.31030924558,4315.952280405405,0.026061776061776062,-238.20785522460938,147.41616821289062,19.07375717163086,37.603370666503906,-10.134690284729004,18.085983276367188,-9.693269729614258,21.069320678710938,-3.740652561187744,10.102996826171875,0.06670794636011124,8.651992797851562,-2.919450283050537,6.087282180786133,1.3753212690353394,3.5190536975860596,4.0030364990234375,8.993669509887695,14.583169937133789,15.063287734985352,vio
[vio][pop_roc]2247__2.wav,0.045144516974687576,1904.2857326662408,2847.2193459728815,3232.8072212837837,0.043720967060810814,-355.9523620605469,147.1382598876953,-6.634731769561768,24.655593872070312,9.788976669311523,28.75733757019043,13.467568397521973,15.335912704467773,2.736069679260254,21.253963470458984,4.466034889221191,6.055482864379883,-4.204405784606934,11.720703125,1.7558188438415527,0.5024400949478149,-10.289814949035645,-3.5620970726013184,-3.1352124214172363,-6.306681156158447,vio
027__[vio][dru][cou_fol]2189__2.wav,0.25784212350845337,3759.639612091467,3539.6716184055385,7444.252797719595,0.1186221796573359,-37.65949249267578,123.61837768554688,-55.59781265258789,66.75276184082031,-20.719812393188477,33.938812255859375,-16.392011642456055,29.33041000366211,-12.602370262145996,15.406426429748535,-10.51236343383789,9.085865020751953,-0.27838021516799927,5.583296298980713,1.9275234937667847,0.012851611711084843,2.0599541664123535,-10.427495002746582,-0.6319174766540527,-4.914731025695801,vio
[vio][cla]2087__1.wav,0.003137128660455346,2511.2586949640845,2752.2127037592454,4338.400021114865,0.06841970318532818,-537.393798828125,126.67757415771484,-69.85701751708984,21.041725158691406,-3.9459080696105957,12.930335998535156,-13.22165584564209,2.988919973373413,-10.82386589050293,1.8622801303863525,-15.349030494689941,-0.07317620515823364,-2.3935537338256836,19.921106338500977,16.48885726928711,9.842476844787598,1.0303092002868652,-4.826866149902344,-4.3456130027771,-0.3082868158817291,vio
099__[vio][nod][cla]2172__1.wav,0.031446706503629684,958.5356724698739,1431.9910455520542,1768.383129222973,0.0210941270511583,-431.93359375,203.6277618408203,-24.785480499267578,29.24716567993164,31.79216957092285,-3.3652865886688232,-2.1090545654296875,-6.848401069641113,-9.323722839355469,-6.831665515899658,2.7116048336029053,-2.1185567378997803,-11.496170043945312,-2.7537834644317627,1.01523756980896,-1.7635126113891602,-3.037489175796509,0.6082099080085754,5.4192047119140625,-1.9623559713363647,vio
121__[vio][nod][cla]2161__2.wav,0.030071092769503593,2017.9147445080703,2506.928368083046,3523.4638935810813,0.0569328396476834,-414.3100280761719,136.2040252685547,-9.769020080566406,44.67272186279297,5.073461532592773,11.704252243041992,-14.002105712890625,7.4747314453125,4.514153480529785,17.773147583007812,21.016775131225586,22.76304054260254,2.959197998046875,-17.181943893432617,-20.443756103515625,-11.504267692565918,2.495471715927124,18.52414894104004,12.633319854736328,7.796484470367432,vio
[vio][jaz_blu]2237__2.wav,0.03267045319080353,848.403093858142,1151.660930893395,1437.2373838682433,0.024421603523166024,-399.5599670410156,236.715576171875,5.6379499435424805,0.38450828194618225,7.201777935028076,6.805722236633301,-1.5990605354309082,-2.628575086593628,-2.548966884613037,-3.9987094402313232,-6.7874226570129395,-9.036698341369629,-5.992406368255615,-10.32034683227539,-8.497679710388184,-7.817788124084473,-4.863426685333252,-1.2598645687103271,-2.124174118041992,-4.303647994995117,vio
125__[vio][nod][cla]2151__1.wav,0.008690854534506798,1747.944215690736,2421.5640885209555,3328.5011085304054,0.045881470197876445,-485.76776123046875,156.28958129882812,-44.67348861694336,46.39109420776367,9.755887985229492,18.551044464111328,-4.732553958892822,10.528797149658203,-3.9476711750030518,13.379769325256348,-0.42091256380081177,-1.398218035697937,1.2330366373062134,5.80987024307251,1.7355009317398071,8.906659126281738,10.418258666992188,11.264585494995117,9.972668647766113,14.739216804504395,vio
122__[vio][nod][cla]2176__2.wav,0.022308427840471268,2024.664952934166,2544.9082967815257,3770.4721811655404,0.06046203848938224,-370.24920654296875,177.33895874023438,-28.40378189086914,40.59440612792969,-8.512900352478027,0.6961607336997986,-18.63002586364746,-1.964056372642517,-10.51524543762207,-7.029848098754883,-8.41593074798584,-2.368419647216797,-5.023746013641357,1.4988288879394531,8.294572830200195,-0.9330605864524841,-5.828342914581299,-0.8722789883613586,-4.071207046508789,-4.70779275894165,vio
[vio][cla]2095__1.wav,0.015303571708500385,1087.1697952896768,1553.2894670968224,1752.2540118243244,0.032264267615830115,-495.128173828125,200.1195526123047,-10.357817649841309,11.813783645629883,7.642512798309326,-5.4819135665893555,-11.878256797790527,-15.601587295532227,-26.367040634155273,-22.84132194519043,-12.66918659210205,-14.212251663208008,-10.210896492004395,-4.435972213745117,-0.8123611807823181,2.8015835285186768,6.484727382659912,2.3554751873016357,-0.8312911987304688,-1.4463987350463867,vio
